net_user,age,friend_cnt,avg_friend_age,avg_friend_male,friend_country_cnt,subscriber_friend_cnt,songsListened,subscription_spending_$,posts,playlists,shouts,adopter,tenure,good_country,age_category,gender,songsListened_monthly,social_activity
tinasmiley,16.0,1.0,16.0,,1.0,0.0,13350,6,0,0,1.0,0,7.0,False,Teens,Female,1668.75,1.0
tinatike,24.0,65.0,22.28301887,0.913793103,9.0,0.0,89984,20,2,0,81.0,0,67.0,False,Adults,Female,1323.2941176470588,83.0
tinbling,21.0,12.0,25.0,0.777777778,1.0,0.0,124547,10,0,1,2.0,0,53.0,True,Adults,Male,2306.425925925926,3.0
tinchos_88,23.0,57.0,23.63636364,0.520833333,14.0,1.0,99877,125,89,1,44.0,0,71.0,False,Adults,Male,1387.1805555555557,134.0
tinedx,,2.0,21.0,0.5,1.0,0.0,39681,0,0,0,5.0,0,16.0,Unknown,Unknown,Unknown,2334.176470588235,5.0
tiniegal,,10.0,26.875,0.5,1.0,0.0,39123,82,0,0,2.0,0,30.0,Unknown,Unknown,Unknown,1262.032258064516,2.0
tinkizz,19.0,31.0,20.16666667,0.68,8.0,0.0,38630,173,0,0,1195.0,0,33.0,False,Teens,Female,1136.1764705882354,1195.0
tintoy-man,38.0,8.0,24.5,0.5,4.0,0.0,31216,2,0,0,5.0,0,31.0,True,Adults,Unknown,975.5,5.0
tinuzzzzzzz,33.0,2.0,31.0,0.0,1.0,1.0,80214,16,0,1,8.0,0,60.0,False,Adults,Male,1314.983606557377,9.0
tinytractor,20.0,17.0,21.69230769,0.538461539,4.0,0.0,53133,68,0,0,8.0,0,35.0,True,Teens,Female,1475.9166666666667,8.0
tipodgraphic,41.0,19.0,31.0625,0.75,5.0,1.0,41867,29,0,1,2.0,0,36.0,False,MiddleAged,Male,1131.5405405405406,3.0
tipsyjeepsy,17.0,0.0,,,0.0,0.0,16819,3,0,0,1.0,0,16.0,Unknown,Teens,Male,989.3529411764706,1.0
tipyourhooker,23.0,4.0,23.5,1.0,2.0,0.0,48889,1,0,1,8.0,0,75.0,Unknown,Adults,Female,643.2763157894736,9.0
tiquismiquis_,22.0,11.0,21.1,0.3,3.0,0.0,9005,184,0,1,19.0,0,16.0,False,Adults,Female,529.7058823529412,20.0
tir0,,0.0,,,0.0,0.0,40594,151,0,2,2.0,0,48.0,Unknown,Unknown,Unknown,828.4489795918367,4.0
tiredalarmclock,18.0,22.0,22.17647059,0.736842105,6.0,1.0,12133,41,0,0,0.0,0,15.0,False,Teens,Female,758.3125,0.0
tireddorian,19.0,2.0,18.5,0.5,1.0,0.0,13271,3,0,0,2.0,0,16.0,True,Teens,Male,780.6470588235294,2.0
tirrebay,20.0,5.0,21.0,0.6,3.0,0.0,32770,12,0,0,2.0,0,45.0,False,Teens,Male,712.3913043478261,2.0
tirzaaa,18.0,38.0,19.04,0.6875,3.0,0.0,23022,34,0,0,80.0,0,40.0,False,Teens,Female,561.5121951219512,80.0
tit_as,,53.0,24.25,0.690476191,8.0,0.0,40366,250,9,1,19.0,0,56.0,False,Unknown,Male,708.1754385964912,29.0
tito-luna,,0.0,,,0.0,0.0,13019,0,0,0,1.0,0,14.0,Unknown,Unknown,Unknown,867.9333333333333,1.0
titorivera,18.0,1.0,18.0,1.0,1.0,0.0,31207,0,0,0,3.0,0,17.0,False,Teens,Male,1733.7222222222222,3.0
titustwister,32.0,10.0,29.33333333,0.5,5.0,0.0,98797,6,0,1,3.0,0,42.0,True,Adults,Male,2297.6046511627906,4.0
tivolihh,,0.0,,,0.0,0.0,25712,53,0,2,1.0,0,27.0,Unknown,Unknown,Unknown,918.2857142857143,3.0
tiwuul,,20.0,25.11764706,0.894736842,3.0,1.0,31000,93,0,0,23.0,0,33.0,False,Unknown,Female,911.7647058823529,23.0
tizio_caio,21.0,49.0,23.17073171,0.681818182,9.0,0.0,45919,51,927,1,791.0,0,67.0,False,Adults,Male,675.2794117647059,1719.0
tjl90,21.0,19.0,20.66666667,0.631578947,1.0,0.0,26757,91,0,1,8.0,0,38.0,True,Adults,Male,686.0769230769231,9.0
tjrtpdud,24.0,14.0,25.0,0.571428571,6.0,0.0,132852,6,24,1,20.0,0,42.0,False,Adults,Male,3089.5813953488373,45.0
tk_2010,,0.0,,,0.0,0.0,27494,0,0,0,1.0,0,22.0,Unknown,Unknown,Unknown,1195.391304347826,1.0
tkaneko,40.0,9.0,32.5,0.875,4.0,1.0,52438,2,0,1,,0,66.0,False,Adults,Unknown,782.6567164179105,
tkdkid393,24.0,13.0,23.6,0.416666667,4.0,0.0,35602,115,0,1,8.0,0,61.0,True,Adults,Male,574.2258064516129,9.0
tkhan_90,20.0,30.0,22.0,0.8,8.0,1.0,103827,147,0,0,25.0,0,63.0,False,Teens,Male,1622.296875,25.0
tkneller,,0.0,,,0.0,0.0,9675,0,0,0,2.0,0,13.0,Unknown,Unknown,Unknown,691.0714285714286,2.0
tkofthefuture,,1.0,20.0,1.0,1.0,0.0,16220,4,0,0,4.0,0,19.0,Unknown,Unknown,Unknown,811.0,4.0
tlagatta,,0.0,,,0.0,0.0,27142,47,0,0,1.0,0,29.0,Unknown,Unknown,Unknown,904.7333333333333,1.0
tlavin1000,,85.0,19.53125,0.532467533,23.0,2.0,61753,10,0,1,41.0,0,32.0,True,Unknown,Male,1871.3030303030303,42.0
tlehner,,3.0,24.0,0.0,1.0,0.0,20702,0,0,0,1.0,0,37.0,Unknown,Unknown,Unknown,544.7894736842105,1.0
tlexeatstokyo,,4.0,30.25,1.0,1.0,0.0,23994,11,0,2,1.0,0,39.0,Unknown,Unknown,Unknown,599.85,3.0
tlfkai,,48.0,34.72,0.615384615,16.0,13.0,95071,2308,1,89,71.0,0,25.0,Unknown,Unknown,Male,3656.576923076923,161.0
tlldrkhndy,,0.0,,,0.0,0.0,33425,172,0,0,2.0,0,37.0,Unknown,Unknown,Unknown,879.6052631578947,2.0
tlocke1,,6.0,23.75,0.5,3.0,0.0,35758,36,0,0,2.0,0,40.0,True,Unknown,Unknown,872.1463414634146,2.0
tlownsu,16.0,3.0,18.0,1.0,1.0,0.0,6688,0,0,0,5.0,0,8.0,True,Teens,Male,743.1111111111111,5.0
tmac83,,1.0,26.0,1.0,1.0,0.0,31893,0,0,0,1.0,0,45.0,Unknown,Unknown,Unknown,693.3260869565217,1.0
tmen6,36.0,40.0,25.48,0.294117647,18.0,2.0,34774,590,0,0,9.0,0,39.0,False,Adults,Male,869.35,9.0
tmfxjohn,21.0,5.0,22.0,0.666666667,1.0,0.0,15565,87,0,0,5.0,0,15.0,Unknown,Adults,Male,972.8125,5.0
tmihuu,27.0,8.0,24.75,0.75,3.0,0.0,55700,56,1,0,6.0,0,38.0,False,Adults,Male,1428.2051282051282,7.0
tmoddmxs,,0.0,,,0.0,0.0,20661,108,0,0,1.0,0,28.0,Unknown,Unknown,Unknown,712.448275862069,1.0
tmok,25.0,2.0,24.0,0.5,2.0,0.0,34843,3,0,0,1.0,0,48.0,True,Adults,Unknown,711.0816326530612,1.0
tmpcgoestolast,20.0,14.0,20.09090909,0.583333333,9.0,0.0,88536,1,0,14,24.0,0,40.0,True,Teens,Male,2159.4146341463415,38.0
tmrodeo,,0.0,,,0.0,0.0,13907,10,0,0,1.0,0,13.0,Unknown,Unknown,Unknown,993.3571428571429,1.0
tmsmt,,3.0,,,0.0,0.0,11918,15,0,0,1.0,0,22.0,Unknown,Unknown,Unknown,518.1739130434783,1.0
tmtatum3887,,0.0,,,0.0,0.0,16749,9,0,1,1.0,0,18.0,Unknown,Unknown,Unknown,881.5263157894736,2.0
tmtd,28.0,281.0,26.46889952,0.331967213,29.0,4.0,74720,15,9,1,227.0,0,67.0,False,Adults,Male,1098.8235294117646,237.0
tmyhys,24.0,11.0,25.57142857,0.333333333,5.0,0.0,47564,2,0,0,3.0,0,8.0,False,Adults,Male,5284.888888888889,3.0
tmzu,20.0,27.0,19.68181818,0.541666667,2.0,0.0,44724,79,0,0,2.0,0,41.0,False,Teens,Male,1064.857142857143,2.0
tnbhryk,20.0,5.0,23.0,1.0,3.0,0.0,23604,31,0,0,3.0,0,17.0,False,Teens,Male,1311.3333333333333,3.0
tndroffr,,3.0,25.5,1.0,1.0,0.0,32470,0,0,0,3.0,0,29.0,True,Unknown,Male,1082.3333333333333,3.0
tneeld,38.0,7.0,39.33333333,1.0,2.0,0.0,75967,298,6,1,18.0,0,68.0,True,Adults,Male,1100.9710144927535,25.0
tntmk,17.0,79.0,19.93846154,0.756756757,28.0,1.0,12341,2131,146,0,332.0,0,7.0,False,Teens,Male,1542.625,478.0
to_onka,20.0,27.0,19.32,0.36,2.0,0.0,18495,157,0,0,340.0,0,25.0,False,Teens,Female,711.3461538461538,340.0
to_the_sun,26.0,32.0,25.47619048,0.52173913,2.0,0.0,94230,23,20,2,53.0,0,69.0,True,Adults,Male,1346.142857142857,75.0
toad_92,19.0,24.0,17.63636364,0.681818182,5.0,0.0,32828,373,0,0,14.0,0,21.0,False,Teens,Male,1492.1818181818182,14.0
toast2that,,17.0,20.4,1.0,7.0,0.0,142881,173,1,0,20.0,0,18.0,False,Unknown,Male,7520.0526315789475,21.0
