songsListened_monthly,tenure,subscription_spending_$,cluster
140.23333333333332,59.0,348,1
55.51428571428571,34.0,0,0
161.45,59.0,194,1
479.69642857142856,55.0,12,3
3.5283018867924527,52.0,0,1
0.0,35.0,0,0
11.813953488372093,42.0,0,1
14.26923076923077,25.0,34,0
52.19230769230769,25.0,32,0
6.086956521739131,22.0,3,0
1.3506493506493509,76.0,0,1
0.1176470588235294,16.0,2,0
0.0,70.0,0,1
35.57142857142857,13.0,4,0
436.0,56.0,391,3
11.666666666666666,23.0,18,0
7.205882352941177,33.0,0,0
0.0,42.0,0,1
10.84,24.0,20,0
291.1489361702128,93.0,0,1
34.48936170212766,46.0,636,2
145.89705882352942,67.0,132,1
69.125,39.0,0,0
9.148148148148149,26.0,5,0
25.676056338028168,70.0,0,1
66.4074074074074,26.0,54,0
1.372093023255814,42.0,20,1
17.176470588235293,33.0,0,0
54.32608695652174,45.0,130,1
25.666666666666668,8.0,196,0
175.0,34.0,42,0
268.7529411764706,84.0,5,1
132.11764705882354,16.0,2,0
319.94,49.0,82,3
28.91304347826087,22.0,2,0
1.8387096774193548,30.0,15,0
132.69767441860466,42.0,1,1
0.5,33.0,5,0
50.5,45.0,451,1
146.21428571428572,13.0,18,0
172.5185185185185,26.0,442,0
32.04081632653061,48.0,1,1
18.466666666666665,44.0,24,1
20.61904761904762,41.0,0,0
68.0952380952381,20.0,4,0
27.302325581395348,42.0,5,1
21.115384615384617,25.0,264,0
333.9166666666667,35.0,56,3
388.1612903225806,61.0,2,3
19.16216216216216,36.0,95,0
212.14583333333337,47.0,162,3
3.2777777777777777,35.0,3,0
2.3582089552238807,66.0,13,1
0.0,38.0,0,0
180.3,69.0,0,1
64.84615384615384,51.0,9,1
179.45454545454547,54.0,141,1
40.729166666666664,47.0,0,1
289.53225806451616,61.0,7,3
126.8936170212766,46.0,104,1
0.09375,31.0,0,0
266.56363636363636,54.0,3,3
165.31034482758622,28.0,4,0
28.375,15.0,14,0
43.20754716981132,52.0,0,1
0.0,46.0,0,1
119.17647058823528,16.0,0,0
13.666666666666666,17.0,7,0
124.77777777777776,35.0,3,0
0.7916666666666666,23.0,0,0
0.0357142857142857,27.0,0,0
85.32142857142857,27.0,2,0
8.555555555555555,35.0,0,0
334.7352941176471,67.0,122,3
11.359375,63.0,1,1
28.574074074074073,53.0,0,1
0.0,13.0,4,0
35.43636363636364,54.0,0,1
17.733333333333334,14.0,247,0
71.70833333333333,23.0,5,0
4.166666666666667,53.0,0,1
351.8955223880597,66.0,3,3
207.57894736842104,75.0,19,1
51.2,24.0,0,0
2.0327868852459017,60.0,5,1
1.8387096774193548,30.0,0,0
79.8,14.0,1,0
135.2,14.0,211,0
0.0606060606060606,32.0,0,0
16.91304347826087,22.0,1,0
93.8,24.0,3,0
8.033898305084746,58.0,2,1
87.38,49.0,279,1
273.0,17.0,43,3
9.391304347826088,45.0,12,1
36.8235294117647,50.0,19,1
138.5,21.0,0,0
3.0,11.0,0,0
64.42307692307692,51.0,5,1
32.44285714285714,69.0,209,1
0.0,33.0,0,0
0.0,5.0,0,0
22.83783783783784,36.0,19,0
22.05128205128205,38.0,22,0
89.36538461538461,51.0,11,1
368.38461538461536,51.0,95,3
3.235294117647059,33.0,0,0
81.79245283018868,52.0,152,1
11.79310344827586,57.0,66,1
0.0,70.0,0,1
3.9565217391304346,45.0,18,1
204.8,44.0,0,3
0.0,18.0,0,0
278.1904761904762,20.0,0,3
4.921568627450981,50.0,0,1
0.0,59.0,0,1
0.125,31.0,0,0
10.555555555555555,53.0,3,1
83.26530612244898,48.0,0,1
0.0,33.0,4,0
24.60606060606061,32.0,1,0
0.0,32.0,34,0
36.6,44.0,33,1
136.8095238095238,20.0,304,0
0.4705882352941176,50.0,0,1
15.594594594594597,36.0,88,0
143.0909090909091,43.0,0,1
133.34146341463415,40.0,13,0
12.020408163265309,48.0,0,1
13.717948717948715,38.0,2,0
0.0555555555555555,35.0,0,0
263.3958333333333,47.0,12,3
155.03030303030303,65.0,8,1
3.5396825396825395,62.0,2,1
45.8,69.0,6,1
200.728813559322,58.0,5,1
463.38461538461536,38.0,0,3
10.085106382978724,46.0,2,1
31.77777777777778,35.0,146,0
25.464285714285715,55.0,0,1
64.0,6.0,0,0
337.925,39.0,45,3
158.26666666666668,44.0,1,1
97.0925925925926,53.0,0,1
2.4444444444444446,44.0,6,1
36.04347826086956,45.0,0,1
28.63,99.0,12,1
52.34883720930232,42.0,0,1
62.10526315789474,56.0,4,1
406.3,9.0,31,3
98.3030303030303,32.0,0,0
9.77777777777778,35.0,19,0
52.90909090909091,21.0,203,0
212.0,31.0,56,3
43.81818181818182,21.0,2,0
195.8507462686567,66.0,0,1
88.54285714285714,34.0,3,0
113.06521739130434,45.0,1,1
70.78947368421052,18.0,29,0
0.0,43.0,0,1
2.8125,47.0,0,1
33.733333333333334,14.0,115,0
130.04545454545453,65.0,202,1
0.0416666666666666,47.0,0,1
245.24615384615385,64.0,35,1
62.675,39.0,0,0
302.2708333333333,47.0,6,3
112.44444444444444,17.0,0,0
88.125,15.0,81,0
394.0,28.0,8,3
26.78723404255319,46.0,0,1
182.3783783783784,36.0,181,3
1.9444444444444444,17.0,0,0
62.857142857142854,20.0,2,0
84.55555555555556,44.0,0,1
0.0,21.0,0,0
301.3174603174603,62.0,0,3
112.0,27.0,7,0
35.875,55.0,213,1
23.24242424242424,32.0,0,0
21.384615384615383,25.0,13,0
236.72727272727272,21.0,125,3
5.933333333333334,29.0,0,0
3.25,35.0,0,0
17.37142857142857,34.0,15,0
25.055555555555557,17.0,32,0
0.0,22.0,0,0
1.6216216216216215,36.0,39,0
0.0,58.0,0,1
395.3695652173913,45.0,5,3
60.473684210526315,37.0,5,0
382.16,24.0,466,3
60.588235294117645,67.0,17,1
43.589285714285715,55.0,2,1
513.1875,15.0,8,3
0.0606060606060606,32.0,0,0
478.8135593220339,58.0,67,3
2.4857142857142858,34.0,7,0
113.75862068965516,57.0,0,1
0.24,24.0,12,0
84.25,35.0,4,0
155.34285714285716,34.0,0,0
156.33333333333334,38.0,11,0
0.2,9.0,0,0
29.133333333333333,14.0,2,0
79.92307692307692,25.0,159,0
63.022222222222226,44.0,246,1
418.46666666666664,44.0,13,3
17.925925925925927,26.0,1,0
38.54838709677419,30.0,77,0
0.1320754716981132,52.0,2,1
0.1034482758620689,28.0,0,0
41.4,4.0,0,0
32.254901960784316,50.0,0,1
103.44736842105264,37.0,638,2
34.59183673469388,48.0,20,1
6.625,39.0,11,0
3.814814814814815,26.0,0,0
122.16,24.0,1060,2
1.392156862745098,50.0,0,1
5.2272727272727275,21.0,0,0
133.58333333333334,35.0,0,0
403.2105263157895,18.0,0,3
0.2307692307692307,12.0,1,0
38.45454545454545,65.0,23,1
98.76595744680851,46.0,0,1
34.8125,15.0,108,0
212.65714285714284,34.0,74,3
29.75,23.0,212,0
340.3114754098361,60.0,3,3
23.770833333333332,47.0,17,1
10.4,49.0,1,1
24.16,24.0,27,0
30.816326530612244,48.0,55,1
0.7818181818181819,54.0,8,1
117.39285714285714,27.0,109,0
39.29545454545455,43.0,0,1
424.25,27.0,24,3
102.3720930232558,42.0,26,1
37.36363636363637,10.0,11,0
211.07843137254903,50.0,1,3
0.0,21.0,2,0
71.89795918367346,48.0,1,1
258.20512820512823,38.0,14,3
57.5,21.0,26,0
247.4324324324324,36.0,18,3
490.2142857142857,27.0,150,3
4.090909090909091,21.0,1,0
7.208333333333333,47.0,0,1
185.54430379746836,78.0,0,1
80.4225352112676,70.0,2,1
130.71830985915494,70.0,6,1
75.54901960784314,50.0,19,1
