net_user,age,male,friend_cnt,avg_friend_age,avg_friend_male,friend_country_cnt,subscriber_friend_cnt,songsListened,subscription_spending_$,posts,playlists,shouts,adopter,tenure,good_country
rheacore,20.0,0.0,169.0,22.80851064,0.675496689,20.0,2.0,23660,180,0,0,162.0,0,61.0,0.0
memhox,30.0,1.0,3.0,24.5,1.0,1.0,0.0,71025,0,0,0,5.0,0,31.0,0.0
ambershanahan,,,2.0,21.0,1.0,1.0,0.0,3602,0,0,0,3.0,0,7.0,
franek55,,,2.0,28.0,0.0,2.0,0.0,0,0,0,0,1.0,0,48.0,
nupesmoker1911,,,0.0,,,0.0,0.0,1043,548,0,0,0.0,0,25.0,
mageron,,,1.0,19.0,0.0,1.0,0.0,2,1,0,0,1.0,0,16.0,
denby87,,,0.0,,,0.0,0.0,4485,86,0,1,0.0,1,19.0,
g1naf3,,1.0,4.0,25.0,0.5,1.0,0.0,1667,1,0,1,1.0,0,33.0,0.0
hanamizuki-,19.0,,11.0,20.36363636,0.0,7.0,0.0,21742,5,0,0,1.0,0,11.0,0.0
myar7,,1.0,3.0,,0.5,2.0,0.0,2341,1,0,0,54.0,0,36.0,
niota,22.0,1.0,19.0,22.07142857,0.933333333,6.0,0.0,9010,64,0,0,3.0,0,81.0,1.0
cliff_rules,25.0,1.0,1.0,23.0,1.0,1.0,0.0,4149,0,9,0,0.0,0,83.0,0.0
maiku07,22.0,1.0,3.0,21.0,0.333333333,1.0,0.0,313,11,0,0,1.0,0,30.0,1.0
bigenoughsack,,,0.0,,,0.0,0.0,472,78,0,0,0.0,0,25.0,
garfield30,33.0,1.0,1.0,31.0,0.0,1.0,0.0,379,29,0,1,1.0,0,33.0,
ashton1015,40.0,1.0,1.0,33.0,1.0,1.0,0.0,904,2,0,0,2.0,0,44.0,1.0
sreshtap,,,0.0,,,0.0,0.0,1051,58,0,1,1.0,0,14.0,
paguodos_giesme,20.0,0.0,2.0,18.0,0.0,1.0,0.0,15197,3,0,1,8.0,0,48.0,0.0
vasis123,,,1.0,21.0,1.0,1.0,0.0,156,10,0,0,2.0,0,12.0,
locomaximus1959,,,0.0,,,0.0,0.0,533,298,0,0,0.0,0,14.0,
last_on_bleach,22.0,1.0,29.0,22.83333333,0.55,2.0,1.0,70911,88,52,1,70.0,0,68.0,1.0
ash_crimson,29.0,1.0,3.0,27.0,1.0,1.0,0.0,8353,588,1,1,0.0,0,59.0,0.0
bartopanter,36.0,1.0,1.0,42.0,1.0,1.0,0.0,1745,29,0,0,3.0,1,29.0,0.0
punkrockluvr,20.0,0.0,16.0,22.14285714,0.8125,7.0,0.0,244,36,0,2,28.0,0,47.0,1.0
karbolik,33.0,1.0,11.0,25.125,0.333333333,2.0,0.0,13383,140,1,2,17.0,0,71.0,0.0
kinkychicken,27.0,0.0,1.0,27.0,1.0,1.0,0.0,13,0,0,0,5.0,0,62.0,0.0
akrodha,23.0,0.0,46.0,28.05714286,0.690476191,7.0,5.0,15031,126,0,0,15.0,1,65.0,1.0
onisama,,1.0,1.0,,1.0,1.0,0.0,29181,0,0,0,1.0,0,83.0,1.0
osagastume,,1.0,0.0,,,0.0,0.0,9406,160,0,1,1.0,0,43.0,0.0
gwynvyd,,,1.0,,1.0,1.0,0.0,0,0,0,0,1.0,0,24.0,
rxconstellation,24.0,0.0,33.0,24.96153846,0.769230769,3.0,1.0,30059,64,7,0,33.0,0,75.0,1.0
devynx,,,1.0,22.0,0.0,1.0,0.0,12144,0,0,1,2.0,0,28.0,
mellowtraxer,35.0,1.0,2.0,26.0,1.0,2.0,0.0,8958,89,0,0,1.0,0,54.0,1.0
piccoletto,,,2.0,26.0,0.0,2.0,0.0,355,0,0,0,6.0,0,26.0,
sonofaque86,25.0,1.0,239.0,24.21717172,0.607305936,33.0,8.0,22378,308,37,1,732.0,0,73.0,1.0
sanvicenc,23.0,1.0,9.0,23.375,0.125,6.0,0.0,34720,65,1,0,7.0,0,40.0,
thegameofuol,16.0,1.0,188.0,19.18471338,0.790697674,11.0,2.0,33371,324,1,0,80.0,0,31.0,0.0
hannarubin,,0.0,4.0,26.0,0.5,2.0,0.0,0,0,0,1,1.0,0,44.0,0.0
trzask-prask,22.0,0.0,26.0,23.29411765,0.666666667,6.0,0.0,21100,84,0,0,145.0,0,43.0,0.0
mickeyd1989,,,0.0,,,0.0,0.0,1811,68,0,0,0.0,0,15.0,
trufux,,,0.0,,,0.0,0.0,833,73,0,0,0.0,0,14.0,
vietiplatsch,15.0,1.0,5.0,16.5,0.5,1.0,0.0,1246,45,0,1,1.0,0,19.0,1.0
lovehairlong,22.0,0.0,4.0,21.66666667,0.333333333,2.0,0.0,3158,163,0,1,30.0,0,52.0,0.0
ramianne,27.0,0.0,3.0,28.0,0.0,1.0,0.0,2163,0,0,0,2.0,0,30.0,0.0
ordnung,41.0,,18.0,34.0,0.833333333,6.0,0.0,32467,106,0,1,2.0,0,66.0,0.0
sleepy-sarah,19.0,0.0,5.0,19.2,0.2,3.0,0.0,76,4,2,1,14.0,0,51.0,0.0
tsurutsuru,26.0,1.0,10.0,27.33333333,0.5,6.0,0.0,74372,0,0,0,40.0,0,60.0,0.0
russashby,38.0,1.0,5.0,39.5,0.75,2.0,0.0,12544,51,2,1,2.0,0,69.0,1.0
octaviaoath,20.0,0.0,20.0,21.6,0.411764706,5.0,0.0,144564,465,0,1,16.0,0,67.0,1.0
dontaxeus,19.0,,1.0,23.0,1.0,0.0,0.0,10806,30,0,0,1.0,0,45.0,
computerwiz888,21.0,1.0,2.0,,1.0,1.0,0.0,1210,8,0,0,5.0,0,42.0,1.0
bea__28,19.0,0.0,4.0,19.75,0.5,2.0,0.0,7091,23,0,1,2.0,0,39.0,0.0
ricsmalaquias,,,11.0,29.25,0.5,5.0,0.0,11101,0,0,0,3.0,0,49.0,0.0
nempsey,,1.0,10.0,34.66666667,0.777777778,2.0,1.0,4954,0,2,0,3.0,0,72.0,1.0
ox5cottyxo,,,0.0,,,0.0,0.0,3141,9,0,0,0.0,0,25.0,
artlab,,,3.0,25.0,1.0,1.0,0.0,1,0,0,1,1.0,0,,
woodster9,,,1.0,,,0.0,0.0,661,15,0,0,1.0,0,34.0,
demifey,,0.0,1.0,21.0,0.0,1.0,0.0,102,4,0,0,1.0,0,11.0,1.0
redbrickwall,,0.0,12.0,22.33333333,0.090909091,2.0,0.0,31395,23,0,0,35.0,0,51.0,0.0
vera-aleks,,0.0,4.0,49.0,1.0,3.0,1.0,13,40,0,1,0.0,0,25.0,0.0
herroradies,,1.0,6.0,21.8,0.6,2.0,0.0,5014,70,0,0,1.0,0,21.0,
sakaido,17.0,1.0,16.0,16.6,0.615384615,3.0,0.0,59002,375,0,0,132.0,0,27.0,1.0
spinny808,,,7.0,31.4,0.6,4.0,0.0,11421,44,0,1,2.0,0,43.0,
jelm7,23.0,1.0,2.0,21.5,0.5,1.0,0.0,111,27,0,1,5.0,0,41.0,
sazed,17.0,1.0,1.0,,,0.0,0.0,281,0,0,0,2.0,0,25.0,0.0
kamtar,29.0,0.0,4.0,31.0,1.0,3.0,1.0,20563,1,0,1,2.0,0,44.0,0.0
knewt,,,3.0,24.0,1.0,1.0,0.0,2256,1,0,0,0.0,0,62.0,
yurtos,24.0,1.0,8.0,24.33333333,0.571428571,2.0,0.0,11866,33,0,1,6.0,0,53.0,0.0
brucky11,,,0.0,,,0.0,0.0,3493,0,0,0,1.0,0,16.0,
annaneuchatel,,,1.0,,,0.0,0.0,26,0,0,0,1.0,0,20.0,
ufk,,0.0,2.0,35.0,1.0,1.0,0.0,32046,0,0,1,0.0,0,74.0,
ernestoglopez,,,0.0,,,0.0,0.0,3324,0,0,0,1.0,0,32.0,
kazmats,,,2.0,31.0,1.0,2.0,1.0,18253,83,0,1,0.0,0,66.0,
brtmk,,,0.0,,,0.0,0.0,859,34,0,0,0.0,0,25.0,
ribesnero,27.0,0.0,12.0,26.77777778,0.727272727,3.0,0.0,1686,1,0,1,6.0,0,52.0,0.0
jonepetersen,,,2.0,34.0,0.5,2.0,0.0,41568,0,0,0,2.0,0,40.0,
blue__petal,,,1.0,21.0,0.0,1.0,0.0,2,0,0,1,0.0,0,44.0,1.0
telemnaro,24.0,1.0,90.0,23.69230769,0.58974359,19.0,5.0,42053,55,242,1,266.0,0,80.0,
science-man,,,1.0,31.0,1.0,1.0,0.0,3,0,0,0,1.0,0,25.0,0.0
ajf891,,,0.0,,,0.0,0.0,1774,3,0,0,0.0,0,23.0,
pargao,,,0.0,,,0.0,0.0,63,3,0,1,0.0,0,22.0,
carlhighnote,,,1.0,,1.0,1.0,0.0,0,0,0,0,1.0,0,54.0,
soillusory,25.0,0.0,9.0,25.25,0.714285714,2.0,0.0,10041,7,0,0,6.0,0,62.0,1.0
n04noi_sn1per,22.0,1.0,10.0,20.85714286,0.25,2.0,0.0,10223,56,0,0,2.0,0,41.0,0.0
tonninen,20.0,0.0,25.0,20.85714286,0.727272727,2.0,0.0,2045,22,0,0,8.0,0,37.0,0.0
lightofthemoon,19.0,0.0,10.0,18.88888889,0.666666667,3.0,0.0,298,9,0,1,13.0,0,32.0,0.0
avalanchetm,20.0,1.0,2.0,21.0,0.0,1.0,0.0,6000,11,0,0,1.0,0,22.0,1.0
pierrotechnique,,1.0,1.0,,,0.0,0.0,0,1,0,1,2.0,0,31.0,0.0
k1ng_cmiceman33,,,11.0,18.0,0.857142857,2.0,1.0,52805,100,0,0,1.0,0,14.0,
marien999,,,2.0,34.0,0.0,1.0,0.0,107,0,0,0,1.0,0,47.0,
mikyan93,25.0,,1.0,13.0,0.0,1.0,0.0,52109,67,0,0,3.0,0,24.0,0.0
sabriii,,0.0,33.0,21.33333333,0.419354839,2.0,0.0,5994,0,0,1,116.0,0,52.0,
nelle12,15.0,0.0,20.0,17.93333333,0.176470588,9.0,0.0,483,43,1,1,9.0,0,25.0,1.0
vgiaretta,,0.0,5.0,24.0,0.75,1.0,0.0,5219,0,0,0,2.0,0,48.0,
dano5,23.0,1.0,123.0,20.8125,0.905660377,19.0,3.0,87844,20,5,2,506.0,0,44.0,0.0
supernova_kid,33.0,1.0,0.0,,,0.0,0.0,779,467,0,0,1.0,0,28.0,1.0
fecundmellow,31.0,0.0,1.0,30.0,1.0,1.0,1.0,88,43,0,0,1.0,0,38.0,1.0
xdphoenix96,,1.0,2.0,16.0,1.0,1.0,0.0,525,4,0,0,3.0,0,22.0,1.0
debbiio,19.0,0.0,93.0,21.30379747,0.61038961,10.0,0.0,7671,85,0,0,144.0,0,34.0,0.0
egghard,,1.0,2.0,33.0,1.0,1.0,0.0,3540,11,0,1,0.0,0,74.0,0.0
ivanatorhk,20.0,,1.0,25.0,1.0,1.0,0.0,28258,14,0,0,1.0,0,19.0,1.0
lenty,23.0,1.0,27.0,24.28571429,0.652173913,5.0,0.0,96186,15,56,1,356.0,0,86.0,1.0
mozg_g,,1.0,1.0,,1.0,0.0,0.0,51,1,0,1,0.0,0,44.0,0.0
maldogg91,20.0,1.0,2.0,69.0,0.0,0.0,0.0,2271,33,0,1,0.0,0,7.0,1.0
hinoco,,0.0,19.0,29.0,0.692307692,1.0,0.0,48878,12,0,0,3.0,0,35.0,0.0
craftygangsta,,,1.0,,,1.0,0.0,0,0,0,0,0.0,0,24.0,
marysoulchild,17.0,0.0,4.0,20.75,0.25,1.0,0.0,1,7,0,1,2.0,0,27.0,0.0
sebuu_,19.0,1.0,6.0,18.75,0.75,1.0,0.0,27351,0,0,0,0.0,0,49.0,0.0
mc_annonymouse,24.0,1.0,5.0,24.5,1.0,2.0,0.0,16414,2,0,0,2.0,0,84.0,1.0
elbati,29.0,1.0,16.0,27.375,0.666666667,1.0,0.0,68556,0,11,2,55.0,1,57.0,0.0
johnnyredbeans,29.0,1.0,3.0,34.0,0.333333333,1.0,0.0,3307,0,0,0,4.0,0,59.0,1.0
infinityends33,,,2.0,20.5,0.5,1.0,0.0,4364,27,0,0,1.0,0,39.0,
proton_queen,27.0,0.0,15.0,28.55555556,0.692307692,7.0,1.0,1980,169,0,1,7.0,0,63.0,1.0
pingsooo,43.0,0.0,49.0,35.46875,0.794871795,21.0,6.0,22663,708,2,0,147.0,0,52.0,0.0
abymon,22.0,0.0,11.0,23.0,1.0,4.0,0.0,37,2,0,0,5.0,1,39.0,0.0
stsbb,,,27.0,21.5625,0.681818182,12.0,0.0,45568,60,0,0,35.0,0,41.0,0.0
echo788,,0.0,9.0,22.33333333,0.6,2.0,1.0,16293,4,0,0,7.0,0,4.0,
supremedivine,,1.0,0.0,,,0.0,0.0,7972,0,0,1,1.0,0,13.0,1.0
krissslt,30.0,0.0,0.0,,,0.0,0.0,84,9,0,1,3.0,0,11.0,
morik12,,1.0,12.0,21.6,1.0,3.0,0.0,8929,37,0,0,1.0,0,42.0,0.0
ewsalter,,,5.0,26.0,1.0,1.0,0.0,118572,68,0,0,1.0,0,75.0,
richard_,24.0,1.0,8.0,24.0,1.0,1.0,0.0,620,0,0,0,0.0,0,73.0,1.0
pausaez,,,2.0,23.5,0.0,1.0,0.0,351,0,0,0,5.0,0,29.0,
arsenefaithful,25.0,1.0,2.0,23.0,0.5,2.0,0.0,2408,10,0,1,1.0,0,54.0,0.0
delboni,,,10.0,30.28571429,0.857142857,2.0,0.0,93,10,0,0,1.0,0,54.0,
kayt3,,0.0,44.0,21.2,0.45,7.0,0.0,51200,256,1,1,45.0,0,40.0,
svmeda,,,0.0,,,0.0,0.0,0,3,0,1,1.0,0,14.0,
janeyn,,,1.0,48.0,1.0,1.0,0.0,32,0,0,0,1.0,0,43.0,
edwardd06,22.0,1.0,0.0,,,0.0,0.0,7554,177,0,1,0.0,0,68.0,
silversheeps,19.0,0.0,1.0,17.0,0.0,1.0,0.0,6,1,0,0,9.0,0,37.0,0.0
jagv,,,1.0,,,0.0,0.0,1,4,0,0,1.0,0,31.0,
julkarn,,1.0,16.0,29.28571429,0.933333333,4.0,0.0,3465,1,0,0,7.0,0,63.0,
moustiq77,,,1.0,24.0,1.0,1.0,0.0,144,36,0,0,1.0,0,56.0,
adria96,17.0,0.0,5.0,16.66666667,0.0,1.0,0.0,12674,54,0,0,4.0,0,20.0,0.0
rettsan18,23.0,1.0,1.0,27.0,1.0,1.0,0.0,153,79,0,1,1.0,0,57.0,1.0
kesuiket,30.0,1.0,1.0,36.0,0.0,1.0,0.0,1195,22,0,1,1.0,1,22.0,0.0
adjr05,40.0,1.0,1.0,21.0,1.0,1.0,0.0,4114,33,0,2,5.0,0,47.0,1.0
bolle_b,,1.0,7.0,22.6,0.571428571,2.0,0.0,30775,218,0,3,12.0,0,25.0,
evilbebi,,1.0,4.0,22.75,1.0,3.0,0.0,28870,0,0,1,2.0,0,55.0,1.0
lovely_sonata,18.0,1.0,11.0,23.0,0.444444444,5.0,0.0,10182,22,0,0,68.0,0,36.0,1.0
ricardoalas,22.0,1.0,5.0,25.66666667,1.0,1.0,0.0,1546,21,0,0,1.0,0,20.0,0.0
viniciuspaludo,20.0,1.0,27.0,22.86363636,0.384615385,4.0,0.0,29745,12,1,0,5.0,0,25.0,0.0
napierdalaj,,1.0,1.0,22.0,1.0,1.0,0.0,9190,8,0,0,0.0,0,13.0,
